ingredient,units,units_json
almond,cup,"[""cup""]"
almond milk,cup,"[""cup""]"
apple,piece,"[""piece""]"
arborio rice,cup,"[""cup""]"
artichoke heart,cup,"[""cup""]"
asparagus,pound,"[""pound""]"
avocado,piece,"[""piece""]"
bacon,piece,"[""piece""]"
baguette,piece,"[""piece""]"
baking powder,teaspoon,"[""teaspoon""]"
baking soda,teaspoon,"[""teaspoon""]"
balsamic vinegar,tablespoon|teaspoon,"[""tablespoon"", ""teaspoon""]"
bamboo shoots,cup,"[""cup""]"
banana,piece,"[""piece""]"
barley,cup,"[""cup""]"
basil,tablespoon|teaspoon,"[""tablespoon"", ""teaspoon""]"
bean sprout,cup,"[""cup""]"
beans,cup,"[""cup""]"
beef,pound,"[""pound""]"
beef broth,cup,"[""cup""]"
beef sirloin,pound,"[""pound""]"
bell pepper,piece,"[""piece""]"
black beans,cup,"[""cup""]"
black pepper,teaspoon,"[""teaspoon""]"
blue cheese,cup,"[""cup""]"
blueberry,cup,"[""cup""]"
bread,piece,"[""piece""]"
breadcrumbs,cup,"[""cup""]"
broccoli,cup,"[""cup""]"
brown sugar,tablespoon,"[""tablespoon""]"
butter,tablespoon,"[""tablespoon""]"
butternut squash,piece,"[""piece""]"
caesar dressing,tablespoon,"[""tablespoon""]"
carrot,piece,"[""piece""]"
cauliflower,pound,"[""pound""]"
celery,piece,"[""piece""]"
cheddar cheese,cup,"[""cup""]"
cheese,cup,"[""cup""]"
cherry tomato,cup,"[""cup""]"
chia seeds,tablespoon,"[""tablespoon""]"
chicken,pound,"[""pound""]"
chicken breast,pound,"[""pound""]"
chicken broth,cup,"[""cup""]"
chicken thigh,pound,"[""pound""]"
chicken wing,pound,"[""pound""]"
chickpea,cup,"[""cup""]"
chili,teaspoon,"[""teaspoon""]"
chili powder,tablespoon|teaspoon,"[""tablespoon"", ""teaspoon""]"
chive,tablespoon|teaspoon,"[""tablespoon"", ""teaspoon""]"
chocolate,pound,"[""pound""]"
chocolate chips,cup,"[""cup""]"
cilantro,cup,"[""cup""]"
cinnamon,teaspoon,"[""teaspoon""]"
cocoa powder,cup,"[""cup""]"
coconut milk,cup,"[""cup""]"
coriander,teaspoon,"[""teaspoon""]"
corn,cup,"[""cup""]"
cornstarch,tablespoon|teaspoon,"[""tablespoon"", ""teaspoon""]"
cottage cheese,cup,"[""cup""]"
couscous,cup,"[""cup""]"
cream cheese,cup,"[""cup""]"
croutons,cup,"[""cup""]"
cucumber,piece,"[""piece""]"
cumin,tablespoon|teaspoon,"[""tablespoon"", ""teaspoon""]"
curry paste,tablespoon,"[""tablespoon""]"
curry powder,tablespoon|teaspoon,"[""tablespoon"", ""teaspoon""]"
dill,tablespoon|teaspoon,"[""tablespoon"", ""teaspoon""]"
egg,piece,"[""piece""]"
egg noodle,cup,"[""cup""]"
egg yolk,piece,"[""piece""]"
eggplant,piece,"[""piece""]"
enchilada sauce,cup,"[""cup""]"
feta cheese,cup,"[""cup""]"
fettuccine,pound,"[""pound""]"
fish sauce,tablespoon,"[""tablespoon""]"
flour,cup|tablespoon,"[""cup"", ""tablespoon""]"
garlic,piece,"[""piece""]"
garlic powder,teaspoon,"[""teaspoon""]"
ginger,tablespoon|teaspoon,"[""tablespoon"", ""teaspoon""]"
granola,cup,"[""cup""]"
greek yogurt,cup,"[""cup""]"
green onion,piece,"[""piece""]"
ground beef,pound,"[""pound""]"
ground lamb,pound,"[""pound""]"
ground turkey,pound,"[""pound""]"
gruyere cheese,cup,"[""cup""]"
heavy cream,cup,"[""cup""]"
honey,tablespoon|teaspoon,"[""tablespoon"", ""teaspoon""]"
hot sauce,cup,"[""cup""]"
jalapeno,piece,"[""piece""]"
kale,cup,"[""cup""]"
kidney beans,cup,"[""cup""]"
lasagna noodles,piece,"[""piece""]"
lemon,piece,"[""piece""]"
lemon juice,tablespoon,"[""tablespoon""]"
lentil,cup,"[""cup""]"
lettuce,cup,"[""cup""]"
lime,piece,"[""piece""]"
lime juice,tablespoon,"[""tablespoon""]"
linguine,pound,"[""pound""]"
mango,piece,"[""piece""]"
maple syrup,tablespoon,"[""tablespoon""]"
marinara sauce,cup,"[""cup""]"
mayonnaise,tablespoon,"[""tablespoon""]"
milk,cup,"[""cup""]"
mint,tablespoon,"[""tablespoon""]"
mirin,tablespoon,"[""tablespoon""]"
mixed berries,cup,"[""cup""]"
mixed vegetables,cup,"[""cup""]"
mozzarella,cup,"[""cup""]"
mushroom,pound,"[""pound""]"
mustard,tablespoon|teaspoon,"[""tablespoon"", ""teaspoon""]"
noodles,pound,"[""pound""]"
nutmeg,teaspoon,"[""teaspoon""]"
oats,cup,"[""cup""]"
oil,tablespoon,"[""tablespoon""]"
olive,cup,"[""cup""]"
olive oil,tablespoon|teaspoon,"[""tablespoon"", ""teaspoon""]"
onion,piece,"[""piece""]"
orange,piece,"[""piece""]"
oregano,tablespoon|teaspoon,"[""tablespoon"", ""teaspoon""]"
pancetta,pound,"[""pound""]"
paprika,teaspoon,"[""teaspoon""]"
parmesan,cup,"[""cup""]"
parsley,tablespoon,"[""tablespoon""]"
pasta,pound,"[""pound""]"
peanut,cup,"[""cup""]"
peanut butter,cup,"[""cup""]"
pear,piece,"[""piece""]"
peas,cup,"[""cup""]"
pepper,teaspoon,"[""teaspoon""]"
pie crust,piece,"[""piece""]"
pita bread,piece,"[""piece""]"
potato,piece,"[""piece""]"
pumpkin puree,cup,"[""cup""]"
quinoa,cup,"[""cup""]"
red lentil,cup,"[""cup""]"
red onion,piece,"[""piece""]"
red pepper,piece,"[""piece""]"
red pepper flakes,teaspoon,"[""teaspoon""]"
rice,cup,"[""cup""]"
rice noodles,pound,"[""pound""]"
ricotta cheese,cup,"[""cup""]"
romaine lettuce,cup,"[""cup""]"
saffron,teaspoon,"[""teaspoon""]"
salmon,piece,"[""piece""]"
salsa,cup,"[""cup""]"
salt,teaspoon,"[""teaspoon""]"
scallion,piece,"[""piece""]"
sesame oil,tablespoon|teaspoon,"[""tablespoon"", ""teaspoon""]"
sesame seeds,tablespoon|teaspoon,"[""tablespoon"", ""teaspoon""]"
shrimp,pound,"[""pound""]"
sour cream,cup,"[""cup""]"
sourdough bread,piece,"[""piece""]"
soy sauce,tablespoon,"[""tablespoon""]"
spaghetti,pound,"[""pound""]"
spinach,cup,"[""cup""]"
strawberry,cup,"[""cup""]"
sugar,cup|tablespoon|teaspoon,"[""cup"", ""tablespoon"", ""teaspoon""]"
sweet potato,piece,"[""piece""]"
taco seasoning,tablespoon,"[""tablespoon""]"
tahini,tablespoon,"[""tablespoon""]"
tamarind paste,tablespoon,"[""tablespoon""]"
thyme,teaspoon,"[""teaspoon""]"
tofu,pound,"[""pound""]"
tomato,piece,"[""piece""]"
tomato sauce,cup,"[""cup""]"
tortilla,piece,"[""piece""]"
tuna,pound,"[""pound""]"
turmeric,teaspoon,"[""teaspoon""]"
vanilla,teaspoon,"[""teaspoon""]"
vegetable broth,cup,"[""cup""]"
vinegar,tablespoon|teaspoon,"[""tablespoon"", ""teaspoon""]"
walnut,cup,"[""cup""]"
water,cup,"[""cup""]"
white beans,cup,"[""cup""]"
white wine,cup,"[""cup""]"
yogurt,cup,"[""cup""]"
zucchini,piece,"[""piece""]"
