recipe_id,ingredient_idx,name,quantity,unit
1,0,salmon,4.0,piece
1,1,honey,3.0,tablespoon
1,2,soy sauce,2.0,tablespoon
1,3,garlic,4.0,piece
1,4,ginger,1.0,teaspoon
1,5,oil,2.0,tablespoon
1,6,sesame seeds,1.0,teaspoon
2,0,chickpea,2.0,cup
2,1,cucumber,1.0,piece
2,2,tomato,2.0,piece
2,3,feta cheese,1.0,cup
2,4,olive,0.5,cup
2,5,lemon,1.0,piece
2,6,oil,3.0,tablespoon
2,7,oregano,1.0,teaspoon
3,0,noodles,0.5,pound
3,1,peanut butter,0.5,cup
3,2,soy sauce,3.0,tablespoon
3,3,lime,2.0,piece
3,4,carrot,2.0,piece
3,5,bell pepper,1.0,piece
3,6,cilantro,0.5,cup
3,7,peanut,0.25,cup
4,0,chicken breast,1.0,pound
4,1,rice,0.5,cup
4,2,chicken broth,8.0,cup
4,3,egg,3.0,piece
4,4,lemon,2.0,piece
4,5,dill,2.0,tablespoon
5,0,chocolate,0.5,pound
5,1,butter,6.0,tablespoon
5,2,egg,2.0,piece
5,3,egg yolk,2.0,piece
5,4,sugar,4.0,tablespoon
5,5,flour,2.0,tablespoon
6,0,chicken wing,3.0,pound
6,1,hot sauce,0.5,cup
6,2,butter,8.0,tablespoon
6,3,blue cheese,0.5,cup
6,4,sour cream,0.5,cup
6,5,celery,6.0,piece
7,0,chicken thigh,1.5,pound
7,1,soy sauce,8.0,tablespoon
7,2,rice,2.0,cup
7,3,broccoli,3.0,cup
7,4,honey,3.0,tablespoon
7,5,ginger,1.0,tablespoon
7,6,garlic,3.0,piece
8,0,bread,8.0,piece
8,1,egg,4.0,piece
8,2,milk,0.75,cup
8,3,cinnamon,1.0,teaspoon
8,4,vanilla,1.0,teaspoon
8,5,butter,4.0,tablespoon
9,0,ground beef,1.5,pound
9,1,kidney beans,2.0,cup
9,2,tomato,2.0,piece
9,3,onion,1.0,piece
9,4,chili powder,2.0,tablespoon
9,5,cumin,1.0,tablespoon
9,6,bell pepper,1.0,piece
9,7,beef broth,1.0,cup
10,0,butternut squash,1.0,piece
10,1,onion,1.0,piece
10,2,vegetable broth,4.0,cup
10,3,coconut milk,1.0,cup
10,4,ginger,1.0,tablespoon
10,5,nutmeg,0.25,teaspoon
10,6,olive oil,2.0,tablespoon
11,0,pasta,1.0,pound
11,1,feta cheese,1.0,cup
11,2,olive,1.0,cup
11,3,cherry tomato,2.0,cup
11,4,cucumber,1.0,piece
11,5,red onion,0.5,piece
11,6,lemon,2.0,piece
11,7,oregano,1.0,teaspoon
12,0,chicken breast,1.0,pound
12,1,tortilla,8.0,piece
12,2,enchilada sauce,2.0,cup
12,3,cheddar cheese,2.0,cup
12,4,sour cream,0.5,cup
12,5,onion,1.0,piece
12,6,cumin,1.0,teaspoon
13,0,oats,1.0,cup
13,1,blueberry,1.5,cup
13,2,almond milk,3.0,cup
13,3,maple syrup,3.0,tablespoon
13,4,cinnamon,1.0,teaspoon
13,5,vanilla,1.0,teaspoon
14,0,rice noodles,0.5,pound
14,1,shrimp,0.5,pound
14,2,tamarind paste,2.0,tablespoon
14,3,fish sauce,3.0,tablespoon
14,4,egg,2.0,piece
14,5,bean sprout,2.0,cup
14,6,peanut,0.5,cup
14,7,scallion,4.0,piece
15,0,sourdough bread,4.0,piece
15,1,avocado,2.0,piece
15,2,cherry tomato,1.0,cup
15,3,lemon,1.0,piece
15,4,red pepper flakes,0.5,teaspoon
16,0,chicken thigh,1.5,pound
16,1,coconut milk,0.5,cup
16,2,curry powder,1.0,tablespoon
16,3,peanut butter,0.5,cup
16,4,soy sauce,3.0,tablespoon
16,5,lime,2.0,piece
16,6,honey,2.0,tablespoon
17,0,ground lamb,1.5,pound
17,1,onion,1.0,piece
17,2,parsley,8.0,tablespoon
17,3,cumin,2.0,teaspoon
17,4,coriander,1.0,teaspoon
17,5,garlic,4.0,piece
18,0,rice noodles,0.5,pound
18,1,shrimp,0.5,pound
18,2,curry powder,2.0,tablespoon
18,3,bell pepper,1.0,piece
18,4,egg,2.0,piece
18,5,soy sauce,3.0,tablespoon
18,6,scallion,4.0,piece
19,0,onion,4.0,piece
19,1,beef broth,6.0,cup
19,2,butter,3.0,tablespoon
19,3,bread,4.0,piece
19,4,gruyere cheese,1.5,cup
19,5,white wine,0.5,cup
19,6,thyme,2.0,teaspoon
20,0,egg,8.0,piece
20,1,bell pepper,1.0,piece
20,2,zucchini,1.0,piece
20,3,onion,1.0,piece
20,4,feta cheese,0.75,cup
20,5,milk,0.25,cup
21,0,chicken breast,1.5,pound
21,1,breadcrumbs,1.5,cup
21,2,marinara sauce,2.0,cup
21,3,mozzarella,1.5,cup
21,4,parmesan,0.5,cup
21,5,egg,2.0,piece
21,6,flour,8.0,tablespoon
22,0,tortilla,4.0,piece
22,1,egg,6.0,piece
22,2,black beans,1.0,cup
22,3,cheddar cheese,1.0,cup
22,4,salsa,0.5,cup
22,5,avocado,1.0,piece
23,0,broccoli,4.0,cup
23,1,cheddar cheese,2.0,cup
23,2,onion,1.0,piece
23,3,butter,4.0,tablespoon
23,4,flour,4.0,tablespoon
23,5,milk,3.0,cup
23,6,chicken broth,2.0,cup
24,0,spaghetti,1.0,pound
24,1,pancetta,0.5,pound
24,2,egg,4.0,piece
24,3,parmesan,1.5,cup
24,4,black pepper,2.0,teaspoon
24,5,garlic,2.0,piece
25,0,tortilla,4.0,piece
25,1,cheddar cheese,2.0,cup
25,2,bell pepper,1.0,piece
25,3,onion,0.5,piece
25,4,sour cream,0.5,cup
26,0,egg,4.0,piece
26,1,tortilla,4.0,piece
26,2,black beans,1.0,cup
26,3,salsa,1.0,cup
26,4,cheddar cheese,0.5,cup
26,5,avocado,1.0,piece
27,0,corn,4.0,cup
27,1,potato,3.0,piece
27,2,bacon,6.0,piece
27,3,onion,1.0,piece
27,4,chicken broth,3.0,cup
27,5,heavy cream,1.0,cup
27,6,thyme,1.0,teaspoon
28,0,potato,4.0,piece
28,1,egg,4.0,piece
28,2,bell pepper,1.0,piece
28,3,onion,1.0,piece
28,4,cheddar cheese,0.5,cup
28,5,paprika,1.0,teaspoon
29,0,jalapeno,12.0,piece
29,1,cream cheese,1.0,cup
