recipe_id,title,description,category,cuisine,meal_type,is_vegan,is_vegetarian,directions,ingredients_json
1,Honey Garlic Glazed Salmon,"Tender salmon fillets coated in a sweet and savory honey garlic glaze, pan-seared to perfection. This dish combines the richness of salmon with the bold flavors of garlic and ginger for a restaurant-quality meal at home.",main dish,American,dinner,False,False,"Season salmon fillets with salt and pepper. In a small bowl, whisk together honey, soy sauce, minced garlic, and grated ginger. Heat oil in a large skillet over medium-high heat. Place salmon skin-side up in the skillet and cook for 4 minutes. Flip salmon and brush generously with the honey garlic mixture. Cook for another 4-5 minutes, basting frequently with the glaze, until salmon is cooked through and caramelized. Sprinkle with sesame seeds and serve immediately with steamed vegetables or rice.","[{""name"": ""salmon"", ""quantity"": 4, ""unit"": ""piece""}, {""name"": ""honey"", ""quantity"": 3, ""unit"": ""tablespoon""}, {""name"": ""soy sauce"", ""quantity"": 2, ""unit"": ""tablespoon""}, {""name"": ""garlic"", ""quantity"": 4, ""unit"": ""piece""}, {""name"": ""ginger"", ""quantity"": 1, ""unit"": ""teaspoon""}, {""name"": ""oil"", ""quantity"": 2, ""unit"": ""tablespoon""}, {""name"": ""sesame seeds"", ""quantity"": 1, ""unit"": ""teaspoon""}]"
2,Mediterranean Chickpea Salad,"A vibrant, protein-packed salad featuring chickpeas, cucumber, tomatoes, and feta in a zesty lemon dressing. This refreshing dish works perfectly as a light lunch or side dish.",salad,Mediterranean,lunch,False,True,"Drain and rinse chickpeas, then pat dry. Dice cucumber and tomatoes into bite-sized pieces. Crumble feta cheese and halve the olives. In a large bowl, combine chickpeas, cucumber, tomatoes, feta, and olives. In a small bowl, whisk together lemon juice, olive oil, oregano, salt, and pepper. Pour dressing over the salad and toss gently to combine. Let the salad sit for 10 minutes to allow flavors to meld. Garnish with fresh herbs if desired and serve at room temperature or chilled.","[{""name"": ""chickpea"", ""quantity"": 2, ""unit"": ""cup""}, {""name"": ""cucumber"", ""quantity"": 1, ""unit"": ""piece""}, {""name"": ""tomato"", ""quantity"": 2, ""unit"": ""piece""}, {""name"": ""feta cheese"", ""quantity"": 1, ""unit"": ""cup""}, {""name"": ""olive"", ""quantity"": 0.5, ""unit"": ""cup""}, {""name"": ""lemon"", ""quantity"": 1, ""unit"": ""piece""}, {""name"": ""oil"", ""quantity"": 3, ""unit"": ""tablespoon""}, {""name"": ""oregano"", ""quantity"": 1, ""unit"": ""teaspoon""}]"
3,Thai Peanut Noodles,Chewy rice noodles tossed in a creamy peanut sauce with crisp vegetables and cilantro. This quick and flavorful dish brings the taste of Thai street food to your kitchen.,main dish,Asian,lunch,True,True,"Cook rice noodles according to package instructions, drain and rinse with cold water. In a bowl, whisk together peanut butter, soy sauce, lime juice, honey, and a splash of water until smooth. Julienne carrots and bell peppers into thin strips. In a large bowl, toss noodles with peanut sauce until well coated. Add julienned vegetables and toss again. Let sit for 5 minutes to allow flavors to combine. Garnish with chopped cilantro and crushed peanuts. Serve at room temperature or chilled with lime wedges on the side.","[{""name"": ""noodles"", ""quantity"": 0.5, ""unit"": ""pound""}, {""name"": ""peanut butter"", ""quantity"": 0.5, ""unit"": ""cup""}, {""name"": ""soy sauce"", ""quantity"": 3, ""unit"": ""tablespoon""}, {""name"": ""lime"", ""quantity"": 2, ""unit"": ""piece""}, {""name"": ""carrot"", ""quantity"": 2, ""unit"": ""piece""}, {""name"": ""bell pepper"", ""quantity"": 1, ""unit"": ""piece""}, {""name"": ""cilantro"", ""quantity"": 0.5, ""unit"": ""cup""}, {""name"": ""peanut"", ""quantity"": 0.25, ""unit"": ""cup""}]"
4,Greek Lemon Chicken Soup,"A comforting soup with tender chicken, rice, and a silky egg-lemon sauce.",soup,Greek,lunch,False,False,"Bring chicken broth to a boil in a large pot. Add chicken breasts and simmer for 20 minutes until cooked through. Remove chicken, shred it, and set aside. Add rice to the broth and cook for 15 minutes until tender. In a bowl, whisk eggs until frothy, then slowly whisk in lemon juice. Temper the egg mixture by slowly adding 2 cups of hot broth while whisking constantly. Remove soup from heat and slowly pour the egg-lemon mixture back into the pot, stirring continuously. Add shredded chicken and chopped dill. Season with salt and pepper and serve warm.","[{""name"": ""chicken breast"", ""quantity"": 1, ""unit"": ""pound""}, {""name"": ""rice"", ""quantity"": 0.5, ""unit"": ""cup""}, {""name"": ""chicken broth"", ""quantity"": 8, ""unit"": ""cup""}, {""name"": ""egg"", ""quantity"": 3, ""unit"": ""piece""}, {""name"": ""lemon"", ""quantity"": 2, ""unit"": ""piece""}, {""name"": ""dill"", ""quantity"": 2, ""unit"": ""tablespoon""}]"
5,Chocolate Lava Cakes,Individual chocolate cakes with molten centers that flow out when broken open.,dessert,French,dessert,False,True,"Preheat oven to 220 Celsius and butter four ramekins, then dust with cocoa powder. Melt chocolate and butter together in a microwave or double boiler, stirring until smooth. In a separate bowl, whisk eggs, egg yolks, and sugar until thick and pale. Fold the chocolate mixture into the eggs, then gently fold in flour until just combined. Divide batter among prepared ramekins. Bake for 12-14 minutes until edges are firm but centers are still soft. Let cool for 1 minute, then carefully invert onto plates. Serve immediately with vanilla ice cream or whipped cream.","[{""name"": ""chocolate"", ""quantity"": 0.5, ""unit"": ""pound""}, {""name"": ""butter"", ""quantity"": 6, ""unit"": ""tablespoon""}, {""name"": ""egg"", ""quantity"": 2, ""unit"": ""piece""}, {""name"": ""egg yolk"", ""quantity"": 2, ""unit"": ""piece""}, {""name"": ""sugar"", ""quantity"": 4, ""unit"": ""tablespoon""}, {""name"": ""flour"", ""quantity"": 2, ""unit"": ""tablespoon""}]"
6,Buffalo Chicken Wings,"Crispy chicken wings coated in tangy buffalo sauce, served with cooling blue cheese dip.",appetizer,American,snack,False,False,"Preheat oven to 220 Celsius. Pat chicken wings dry and toss with salt, pepper, and baking powder. Arrange on a wire rack over a baking sheet. Bake for 45-50 minutes, flipping halfway, until golden and crispy. Meanwhile, melt butter and mix with hot sauce. For blue cheese dip, combine crumbled blue cheese, sour cream, and a splash of milk. Toss hot wings in buffalo sauce until well coated. Serve immediately with blue cheese dip and celery sticks on the side.","[{""name"": ""chicken wing"", ""quantity"": 3, ""unit"": ""pound""}, {""name"": ""hot sauce"", ""quantity"": 0.5, ""unit"": ""cup""}, {""name"": ""butter"", ""quantity"": 8, ""unit"": ""tablespoon""}, {""name"": ""blue cheese"", ""quantity"": 0.5, ""unit"": ""cup""}, {""name"": ""sour cream"", ""quantity"": 0.5, ""unit"": ""cup""}, {""name"": ""celery"", ""quantity"": 6, ""unit"": ""piece""}]"
7,Chicken Teriyaki Bowls,Grilled chicken with homemade teriyaki sauce served over rice with steamed broccoli.,main dish,Japanese,dinner,False,False,"Cook rice according to package instructions. In a small saucepan, combine soy sauce, honey, grated ginger, minced garlic, and a splash of water. Simmer for 5 minutes until slightly thickened. Cut chicken into bite-sized pieces and marinate in half the teriyaki sauce for 20 minutes. Heat a large skillet over medium-high heat and cook chicken for 6-8 minutes until cooked through. Steam broccoli until tender-crisp. Assemble bowls with rice as base, top with chicken and broccoli, then drizzle with remaining teriyaki sauce. Sprinkle with sesame seeds.","[{""name"": ""chicken thigh"", ""quantity"": 1.5, ""unit"": ""pound""}, {""name"": ""soy sauce"", ""quantity"": 8, ""unit"": ""tablespoon""}, {""name"": ""rice"", ""quantity"": 2, ""unit"": ""cup""}, {""name"": ""broccoli"", ""quantity"": 3, ""unit"": ""cup""}, {""name"": ""honey"", ""quantity"": 3, ""unit"": ""tablespoon""}, {""name"": ""ginger"", ""quantity"": 1, ""unit"": ""tablespoon""}, {""name"": ""garlic"", ""quantity"": 3, ""unit"": ""piece""}]"
8,Cinnamon French Toast,Classic breakfast with thick bread slices soaked in cinnamon-spiced egg mixture and pan-fried until golden.,breakfast,French,breakfast,False,True,"In a shallow bowl, whisk together eggs, milk, cinnamon, vanilla, and a pinch of salt. Heat a large skillet or griddle over medium heat and melt butter. Dip each bread slice into the egg mixture, allowing it to soak for 10 seconds per side. Place soaked bread in the hot skillet and cook for 3-4 minutes per side until golden brown and slightly crispy. Keep cooked slices warm in a low oven while finishing the rest. Serve hot with maple syrup, fresh berries, and powdered sugar.","[{""name"": ""bread"", ""quantity"": 8, ""unit"": ""piece""}, {""name"": ""egg"", ""quantity"": 4, ""unit"": ""piece""}, {""name"": ""milk"", ""quantity"": 0.75, ""unit"": ""cup""}, {""name"": ""cinnamon"", ""quantity"": 1, ""unit"": ""teaspoon""}, {""name"": ""vanilla"", ""quantity"": 1, ""unit"": ""teaspoon""}, {""name"": ""butter"", ""quantity"": 4, ""unit"": ""tablespoon""}]"
9,Beef and Bean Chili,"Hearty chili loaded with ground beef, kidney beans, and warming spices.",soup,American,dinner,False,False,"Brown ground beef in a large pot over medium-high heat, breaking it into small pieces. Drain excess fat. Add diced onion and bell pepper, cook for 5 minutes until softened. Stir in chili powder, cumin, and garlic, cook for 1 minute. Add crushed tomatoes, drained kidney beans, and beef broth. Bring to a boil, then reduce heat and simmer uncovered for 30-40 minutes, stirring occasionally. Season with salt and pepper. Serve hot with shredded cheese, sour cream, and cornbread or crackers on the side.","[{""name"": ""ground beef"", ""quantity"": 1.5, ""unit"": ""pound""}, {""name"": ""kidney beans"", ""quantity"": 2, ""unit"": ""cup""}, {""name"": ""tomato"", ""quantity"": 2, ""unit"": ""piece""}, {""name"": ""onion"", ""quantity"": 1, ""unit"": ""piece""}, {""name"": ""chili powder"", ""quantity"": 2, ""unit"": ""tablespoon""}, {""name"": ""cumin"", ""quantity"": 1, ""unit"": ""tablespoon""}, {""name"": ""bell pepper"", ""quantity"": 1, ""unit"": ""piece""}, {""name"": ""beef broth"", ""quantity"": 1, ""unit"": ""cup""}]"
10,Butternut Squash Soup,Creamy pureed soup with roasted butternut squash and warming spices.,soup,American,lunch,True,True,"Preheat oven to 200 degrees Celsius. Peel and cube butternut squash, toss with olive oil, salt, and pepper. Roast for 30-35 minutes until tender and caramelized. In a large pot, saute diced onion in olive oil until soft. Add grated ginger and cook for 1 minute. Add roasted squash and vegetable broth, bring to a simmer. Use an immersion blender to puree until completely smooth. Stir in coconut milk and nutmeg. Simmer for 5 minutes and adjust seasoning. Serve hot with toasted pumpkin seeds and a drizzle of cream.","[{""name"": ""butternut squash"", ""quantity"": 1, ""unit"": ""piece""}, {""name"": ""onion"", ""quantity"": 1, ""unit"": ""piece""}, {""name"": ""vegetable broth"", ""quantity"": 4, ""unit"": ""cup""}, {""name"": ""coconut milk"", ""quantity"": 1, ""unit"": ""cup""}, {""name"": ""ginger"", ""quantity"": 1, ""unit"": ""tablespoon""}, {""name"": ""nutmeg"", ""quantity"": 0.25, ""unit"": ""teaspoon""}, {""name"": ""olive oil"", ""quantity"": 2, ""unit"": ""tablespoon""}]"
